Linux 4.18.0-348.el8.x86_64 (localhost.localdomain) 	11/30/22 	_x86_64_	(64 CPU)

07:43:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:43:47     all    1.24    0.00    0.88    0.00    0.02    0.04    0.00    0.00    0.00   97.82
07:43:47       0    0.00    0.00    6.00    0.00    0.00    0.50    0.00    0.00    0.00   93.50
07:43:47       1    0.00    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   99.00
07:43:47       2    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
07:43:47       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:47       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:47       5    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
07:43:47       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:47       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:47       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:47       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:47      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:47      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:47      12    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
07:43:47      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:47      14    0.00    0.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00   99.50
07:43:47      15    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
07:43:47      16    1.00    0.00   22.39    0.00    0.00    1.00    0.00    0.00    0.00   75.62
07:43:47      17    1.49    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.01
07:43:47      18    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
07:43:47      19    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
07:43:47      20    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
07:43:47      21   27.36    0.00    1.99    0.00    0.00    0.00    0.00    0.00    0.00   70.65
07:43:47      22    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
07:43:47      23    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
07:43:47      24    0.50    0.00    0.50    0.00    0.50    0.00    0.00    0.00    0.00   98.51
07:43:47      25    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
07:43:47      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:47      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:47      28    0.00    0.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00   99.50
07:43:47      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:47      30    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
07:43:47      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:47      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:47      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:47      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:47      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:47      36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:47      37    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
07:43:47      38    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
07:43:47      39    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
07:43:47      40    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
07:43:47      41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:47      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:47      43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:47      44    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
07:43:47      45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:47      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:47      47   12.06    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   86.93
07:43:47      48    0.00    0.00    6.03    0.00    0.00    0.00    0.00    0.00    0.00   93.97
07:43:47      49    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
07:43:47      50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:47      51    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
07:43:47      52    1.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.00
07:43:47      53    1.49    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.51
07:43:47      54    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
07:43:47      55    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.01
07:43:47      56    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
07:43:47      57    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
07:43:47      58    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
07:43:47      59    0.00    0.00    0.00    0.00    0.00    0.50    0.00    0.00    0.00   99.50
07:43:47      60    0.51    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   98.99
07:43:47      61    0.50    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.50
07:43:47      62    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:47      63   25.50    0.00    3.50    0.00    0.00    0.00    0.00    0.00    0.00   71.00

07:43:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:43:49     all    0.88    0.00    2.59    0.00    0.03    0.09    0.00    0.00    0.00   96.41
07:43:49       0    0.50    0.00   25.63    0.00    0.00    1.51    0.00    0.00    0.00   72.36
07:43:49       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49       3    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
07:43:49       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49       6    0.00    0.00   15.00    0.00    0.00    0.00    0.00    0.00    0.00   85.00
07:43:49       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49       8    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
07:43:49       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49      16    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
07:43:49      17   26.77    0.00    2.53    0.00    0.00    0.00    0.00    0.00    0.00   70.71
07:43:49      18    0.00    0.00   15.00    0.00    0.00    0.50    0.00    0.00    0.00   84.50
07:43:49      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49      25    0.00    0.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00   99.50
07:43:49      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49      32   13.13    0.00   37.88    0.00    0.00    1.01    0.00    0.00    0.00   47.98
07:43:49      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49      36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49      37    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
07:43:49      38    0.00    0.00   12.00    0.00    0.00    0.50    0.00    0.00    0.00   87.50
07:43:49      39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49      40    0.50    0.00   24.50    0.00    0.00    1.00    0.00    0.00    0.00   74.00
07:43:49      41    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
07:43:49      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:49      43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
