Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,27400984,2258078,0,0,60,1753662976,144516992
1,150879906,3135060,0,0,0,9656313984,200643840
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,70,68,10,0,80,4480,4992
1,0,0,0,0,0,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,180,38,0,0,60,11520,2432
1,0,0,0,0,0,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,944,276,0,0,24,60416,17664
1,0,0,0,0,0,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,50,6,0,0,36,3200,384
1,0,0,0,0,0,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,22064,5532,4,0,24,1412096,354304
1,0,0,0,0,8,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,84,56,134,0,144,5376,12160
1,0,0,0,0,222,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,50,66,270,0,404,3200,21504
1,0,0,0,0,308,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,1068,436,352,0,232,68352,50432
1,0,0,0,0,496,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,23082,210,258,0,168,1477248,29952
1,0,0,0,0,420,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,22712,5660,0,0,72,1453568,362240
1,0,0,0,0,0,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,204,80,0,0,110,13056,5120
1,0,0,0,0,0,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,11069340,66,0,0,62,708437760,4224
1,0,0,0,0,0,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,962,304,0,0,84,61568,19456
1,0,0,0,0,0,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,66,66,7272,0,72,4224,469632
1,0,0,0,0,14546,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,8132850,6318,7888,0,48,520502400,909184
1,0,0,0,0,15398,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,4399112,30,1584,0,48,281543168,103296
1,0,0,0,0,3168,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,12309054,10,7824,0,208412,787779456,501376
1,0,0,0,0,193674,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,11148750,9453072,2838,0,401408,713520000,605178240
1,15265836,13070208,2846,0,410688,977013504,836675456
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,10760814,9387616,3370,0,409534,688692096,601023104
1,10760966,9494238,2844,0,402048,688701824,607813248
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,10939374,9417616,2838,0,405058,700119936,602909056
1,10762574,9345532,2844,0,401722,688804736,598296064
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,10541192,9453314,2750,0,405054,674636288,605188096
1,10836406,9420766,2770,0,402798,693529984,603106304
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,10939188,9646848,2902,0,413338,700108032,617584000
1,10911074,9525628,2842,0,403920,698308736,609822080
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,26878730,9460206,2758,0,403776,1720238720,605629696
1,10861034,9492440,2768,0,405478,695106176,607693312
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,10691020,9412888,2854,0,412002,684225280,602607488
1,10676526,9436898,2846,0,399198,683297664,604143616
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,10990764,9394252,2838,0,399362,703408896,601413760
1,10966924,9446940,2800,0,406036,701883136,604783360
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,10836110,9488992,2856,0,392576,693511040,607478272
1,11073042,9431456,2846,0,417950,708674688,603795328
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,10866550,9581178,2762,0,401470,695459200,613372160
1,10869494,9533616,2722,0,401650,695647616,610325632
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,26802592,9547736,10690,0,412430,1715365888,611739264
1,10704454,9588506,2814,0,418124,685085056,613844480
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,24322758,9533888,2716,0,407294,1556656512,610342656
1,10881138,9468528,2774,0,401218,696392832,606163328
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,11084216,9435630,2844,0,401880,709389824,604062336
1,10968674,9392542,2852,0,408246,701995136,601305216
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,10998150,9581780,2804,0,405936,703881600,613413376
1,10960418,9592334,2814,0,405464,701466752,614089472
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,10751720,9453650,2868,0,399446,688110080,605217152
1,10788096,9440692,2838,0,407468,690438144,604385920
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,11107502,9501110,2848,0,404150,710880128,608253312
1,10864234,9466316,2858,0,408620,695310976,606027136
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,10842914,9498712,2846,0,399510,693946496,608099712
1,10860206,9484624,2820,0,411286,695053184,607196416
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,11048664,9601040,2846,0,406820,707114496,614648704
1,10960574,9482228,2846,0,406092,701476736,607044736
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,21084128,9548454,2852,0,418654,1349384192,611283584
1,10764312,9514138,2836,0,397674,688915968,609086336
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,10985232,9451230,2870,0,402182,703054848,605062400
1,10885532,9477570,2804,0,409194,696674048,606743936
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,10958628,9400232,6532,0,412640,701352192,602032896
1,10887936,9439574,2796,0,407418,696827904,604311680
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,13681890,9501050,2826,0,411660,875640960,608248064
1,10948342,9416970,2814,0,399440,700693888,602866176
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,10809234,9539650,2850,0,401944,691790976,610720000
1,10862912,9546870,2840,0,407604,695226368,611181440
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,10848172,9539544,2810,0,411016,694283008,610710656
1,10878054,9471174,2830,0,406232,696195456,606336256
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,11127892,9472874,2838,0,406744,712185088,606445568
1,11002148,9461530,2816,0,411626,704137472,605718144
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,11097928,9413048,2846,0,405320,710267392,602617216
1,10874248,9494906,2848,0,408756,695951872,607856256
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,10900926,9466446,2802,0,411910,697659264,606031872
1,10879056,9469092,2824,0,396564,696259584,606202624
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,10854296,9514338,2792,0,408070,694674944,609096320
1,10742776,9439088,2794,0,408874,687537664,604280448
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,10873474,9483752,2780,0,404828,695902336,607138048
1,10883998,9485258,2796,0,407112,696575872,607235456
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,10983556,9539702,2816,0,416778,702947584,610721152
1,10996840,9466774,2840,0,396160,703797760,606055296
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,10968072,9481766,2832,0,411674,701956608,607014272
1,10839330,9459438,2802,0,404556,693717120,605583360
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,10805784,9468158,2902,0,408542,691570176,606147840
1,10783102,9486886,2810,0,403792,690118528,607340544
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,10739740,9533570,2854,0,414318,687343360,610331136
1,10852350,9482618,2816,0,399290,694550400,607067776
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
