Time,S0Read,S0Write,S1Read,S1Write
08:27:14,4775843.00,6710799.50,100511.55,74531.78
08:27:16,489.03,347.93,206.41,180.81
08:27:18,549.02,533.81,473.83,566.51
08:27:20,28.10,23.63,340.09,251.50
08:27:22,29.14,19.94,48.28,38.43
08:27:24,21.96,15.56,16.45,19.36
08:27:26,51.57,40.99,72.61,55.63
08:27:28,264.78,220.82,185.77,160.36
08:27:30,592.05,504.67,594.11,483.62
08:27:32,125.88,105.88,592.73,530.25
08:27:34,109.80,92.38,601.86,372.20
08:27:36,505.03,547.96,1425.47,931.43
08:27:38,298.26,295.98,908.63,750.63
08:27:40,13.88,14.09,15.26,15.81
08:27:42,162.54,31.90,360.84,48.24
08:27:44,1095.38,1200.83,31.28,29.86
08:27:46,1632.37,1682.87,1122.37,1358.25
08:27:48,566.86,563.73,1613.66,1486.15
08:27:50,613.23,589.07,474.62,356.20
08:27:52,598.26,592.00,485.22,366.00
08:27:54,638.00,620.02,474.70,350.15
08:27:56,703.84,664.67,526.64,375.88
08:27:58,724.24,666.02,632.87,437.83
08:28:00,856.69,753.69,666.19,438.63
08:28:02,868.53,766.66,811.78,516.40
08:28:04,772.20,700.42,801.17,515.24
08:28:06,695.09,613.86,676.32,444.82
08:28:08,717.22,616.79,916.87,431.52
08:28:10,602.56,576.40,497.62,350.95
08:28:12,914.33,666.84,902.99,456.71
08:28:14,547.17,542.18,495.09,346.62
08:28:16,534.77,534.11,441.71,319.16
08:28:18,522.38,521.94,428.49,316.76
08:28:20,568.33,554.38,415.41,299.49
08:28:22,635.82,600.44,515.26,363.81
08:28:24,694.88,653.99,549.38,373.57
08:28:26,698.56,651.93,605.53,414.09
08:28:28,671.06,632.99,610.86,417.99
08:28:30,618.72,591.60,565.85,395.79
08:28:32,591.41,575.69,527.34,376.91
08:28:34,537.03,529.97,477.02,349.09
08:28:36,516.86,520.39,411.88,307.88
08:28:38,549.04,514.67,434.84,318.24
08:28:40,487.80,494.97,395.92,294.06
08:28:42,574.72,518.39,471.43,306.47
08:28:44,597.44,516.02,524.87,301.85
08:28:46,484.02,488.11,391.91,287.01
08:28:48,528.15,525.86,400.76,293.32
08:28:50,538.05,541.72,444.09,319.25
08:28:52,524.33,529.41,429.54,309.68
08:28:54,574.72,562.87,439.84,316.43
08:28:56,631.39,617.13,492.94,345.45
08:28:58,684.72,655.04,558.51,385.28
08:29:00,710.97,670.34,615.86,414.43
08:29:02,716.73,672.03,638.23,422.27
08:29:04,755.70,707.10,683.58,448.91
08:29:06,686.71,649.41,624.04,417.03
08:29:08,698.88,648.00,611.07,407.03
08:29:10,834.33,701.84,672.41,429.05
08:29:12,690.84,659.79,681.69,453.68
08:29:14,717.15,619.82,712.80,428.49
08:29:16,854.73,607.44,847.53,417.74
08:29:18,581.55,566.87,480.69,345.78
08:29:20,608.18,590.97,500.54,350.02
08:29:22,648.34,615.86,545.16,386.32
08:29:24,629.87,606.69,557.27,385.83
08:29:26,592.00,582.70,538.93,376.85
08:29:28,542.91,539.33,502.48,359.74
08:29:30,576.15,564.04,462.60,328.33
08:29:32,571.82,562.19,487.94,345.76
08:29:34,607.18,592.52,494.41,343.37
08:29:36,608.34,592.04,522.65,362.46
08:29:38,595.70,579.33,535.36,378.28
08:29:40,561.37,548.94,473.62,336.66
08:29:42,580.45,508.33,502.04,352.51
08:29:44,502.02,501.82,400.72,293.37
08:29:46,516.60,513.39,398.40,296.18
08:29:48,897.80,604.87,840.24,382.20
08:29:50,566.16,554.20,421.66,314.96
08:29:52,566.23,548.93,435.33,329.32
08:29:54,564.61,549.34,440.00,321.05
08:29:56,600.41,578.56,449.56,325.58
08:29:58,621.39,591.87,509.28,360.71
08:30:00,632.12,606.39,538.50,371.02
08:30:02,639.46,603.36,562.72,385.40
08:30:04,652.18,615.68,541.54,369.39
08:30:06,649.03,610.33,544.92,377.22
08:30:08,605.47,580.74,557.24,392.70
08:30:10,606.39,578.91,505.82,360.24
08:30:12,617.23,603.57,521.55,364.54
08:30:14,758.08,641.11,579.70,384.87
08:30:16,686.76,639.41,554.36,377.01
08:30:18,714.91,665.23,629.91,422.84
08:30:20,927.66,700.75,925.02,473.99
08:30:22,851.68,661.08,839.04,465.15
08:30:24,627.15,605.99,570.28,389.18
08:30:26,609.97,582.55,530.57,365.25
08:30:28,605.82,577.56,520.45,367.79
08:30:30,600.92,577.01,514.74,360.37
08:30:32,539.16,531.57,489.62,351.93
08:30:34,503.19,506.98,434.77,316.21
08:30:36,484.99,484.18,385.07,285.16
08:30:38,520.97,515.05,387.72,285.54
08:30:40,559.15,546.14,423.81,305.25
08:30:42,565.43,536.36,464.63,336.42
08:30:44,543.18,508.91,470.07,321.81
08:30:46,493.10,467.55,426.36,300.62
08:30:48,503.11,408.97,440.61,307.52
08:30:50,294.05,280.59,320.93,236.91
08:30:52,263.35,242.28,268.70,184.29
08:30:54,542.19,286.31,522.79,174.22
08:30:56,247.51,240.44,156.35,121.74
08:30:58,265.53,254.13,180.28,142.55
08:31:00,244.09,231.45,168.75,129.40
08:31:02,212.14,188.35,187.05,147.76
08:31:04,133.17,117.85,128.63,97.54
08:31:06,41.38,42.03,62.62,44.10
08:31:08,14.32,14.00,28.05,23.95
08:31:10,23.96,15.65,18.44,23.06
08:31:12,34.47,27.73,48.78,38.38
08:31:14,14.59,14.17,17.98,16.58
08:31:16,14.30,13.83,14.21,14.53
08:31:18,14.24,14.21,22.12,17.79
08:31:20,16.03,14.28,22.65,15.54
08:31:22,20.92,15.24,20.05,20.60
08:31:24,14.98,14.41,15.79,15.60
08:31:26,52.00,16.84,54.67,16.82
08:31:28,14.21,14.36,18.46,17.44
08:31:30,14.01,14.43,16.59,16.55
08:31:32,18.18,18.51,26.38,23.11
08:31:34,14.43,14.38,15.78,15.85
08:31:36,14.77,14.48,15.78,15.89
08:31:38,17.12,16.90,19.30,18.12
08:31:40,17.57,16.44,17.37,16.16
08:31:42,16.33,15.57,20.21,18.68
08:31:44,14.37,14.31,15.49,15.70
08:31:46,14.97,14.66,15.75,15.99
08:31:48,13.89,14.19,15.53,15.71
08:31:50,14.12,14.32,15.05,15.44
08:31:52,13.68,13.83,14.76,14.88
08:31:54,13.89,13.77,14.45,14.55
08:31:56,14.20,13.77,13.90,14.18
08:31:58,13.95,14.06,15.46,15.37
08:32:00,15.96,15.31,17.37,16.55
08:32:02,19.26,17.50,24.44,23.78
08:32:04,20.54,18.85,24.83,21.86
08:32:06,15.55,15.24,17.71,17.99
08:32:08,18.55,16.62,26.06,22.77
08:32:10,22.38,16.23,16.00,17.80
08:32:12,19.51,17.29,24.99,22.27
