Time,S0Read,S0Write,S1Read,S1Write
06:03:47,5014313.50,7066761.00,135145.53,108454.91
06:03:49,262.19,100.84,219.43,193.32
06:03:51,253.11,66.51,224.48,202.48
06:03:53,24.78,20.74,77.48,49.19
06:03:55,15.46,14.39,16.73,17.33
06:03:57,13.89,13.99,22.06,19.65
06:03:59,64.47,51.64,75.68,61.82
06:04:01,363.72,293.21,320.49,260.97
06:04:03,785.27,671.58,375.59,277.67
06:04:05,260.21,222.53,280.97,239.99
06:04:07,1389.46,1677.82,2792.85,3028.10
06:04:09,1529.97,1452.88,3924.78,3361.77
06:04:11,43.63,38.76,672.17,367.51
06:04:13,16.00,15.73,28.02,24.70
06:04:15,308.22,40.78,501.08,42.02
06:04:17,1511.92,978.09,281.47,50.60
06:04:19,6573.01,5633.42,2283.18,1982.77
06:04:21,4565.69,4407.84,6393.77,4051.07
06:04:23,4435.16,4327.21,3807.60,2079.05
06:04:25,4274.77,4274.90,3295.20,1921.67
06:04:27,4109.00,4136.85,3085.28,1913.25
06:04:29,4649.22,4276.95,3290.82,1865.91
06:04:31,4201.12,4205.34,3134.95,1875.51
06:04:33,4224.65,4214.02,3022.45,1855.78
06:04:35,4181.10,4171.59,3008.97,1835.08
06:04:37,4184.64,4172.22,3027.74,1838.57
06:04:39,4205.23,4194.83,3006.61,1824.33
06:04:41,4179.27,4181.23,3030.98,1852.78
06:04:43,4172.29,4166.27,2988.49,1820.03
06:04:45,4180.80,4173.03,3026.93,1828.72
06:04:47,4287.21,4240.13,3035.98,1843.05
06:04:49,4179.90,4166.53,3091.05,1883.57
06:04:51,4260.98,4198.25,2981.93,1801.50
06:04:53,4836.65,4585.02,3053.90,1845.57
06:04:55,4496.77,4284.28,3077.39,1843.54
06:04:57,4195.20,4163.08,3149.09,1898.71
06:04:59,4281.18,4207.25,3045.04,1855.62
06:05:01,5123.56,4306.83,3487.36,2095.81
06:05:03,4417.22,4320.33,3638.05,1997.77
06:05:05,4304.44,4245.13,3803.68,2018.72
06:05:07,4323.07,4237.58,3224.91,1863.63
06:05:09,4213.56,4168.46,3060.81,1838.00
06:05:11,4261.40,4193.15,3047.62,1830.38
06:05:13,4161.84,4147.67,3067.91,1847.52
06:05:15,4218.51,4177.73,2987.17,1790.26
06:05:17,4232.16,4190.29,3031.36,1823.14
06:05:19,4254.39,4203.51,3059.65,1836.14
06:05:21,4172.91,4149.77,3071.11,1844.21
06:05:23,4212.09,4171.39,3020.57,1807.05
06:05:25,4215.20,4180.47,3031.97,1812.71
06:05:27,4243.21,4187.19,3054.34,1836.11
06:05:29,4201.67,4170.04,3031.62,1815.89
06:05:31,4227.56,4188.05,2998.86,1790.75
06:05:33,5045.37,4301.60,3366.01,1902.35
06:05:35,4295.44,4253.59,3670.24,1897.39
06:05:37,4269.80,4231.38,3733.39,1907.72
06:05:39,4216.07,4172.33,3058.31,1817.68
06:05:41,4248.79,4189.75,3061.20,1829.30
06:05:43,4213.88,4167.89,3093.04,1855.47
06:05:45,4191.16,4155.56,3059.56,1827.39
06:05:47,4219.94,4176.44,3045.22,1821.99
06:05:49,4263.81,4204.05,3045.39,1825.11
06:05:51,4222.99,4169.98,3087.23,1849.54
06:05:53,4208.23,4156.25,3068.55,1827.99
06:05:55,4218.57,4167.09,3044.79,1815.17
06:05:57,4254.52,4186.38,3097.45,1856.28
06:05:59,4202.33,4161.46,3078.37,1848.37
06:06:01,4208.70,4165.12,3051.01,1821.63
06:06:03,4837.63,4228.25,3142.21,1866.20
06:06:05,4656.13,4283.52,3647.36,1937.30
06:06:07,4237.67,4237.40,3893.87,1937.77
06:06:09,4224.28,4192.58,3368.92,1848.80
06:06:11,4231.26,4176.01,3074.32,1829.68
06:06:13,4245.44,4178.30,3076.21,1848.41
06:06:15,4200.38,4142.41,3040.76,1834.82
06:06:17,4274.03,4174.43,3012.22,1827.05
06:06:19,4266.77,4178.53,3012.29,1810.55
06:06:21,4248.75,4181.05,3093.91,1846.11
06:06:23,4196.69,4152.67,3103.70,1838.63
06:06:25,4201.28,4164.33,3090.03,1815.55
06:06:27,4191.09,4156.42,3082.18,1830.63
06:06:29,4244.72,4186.00,3087.83,1836.08
06:06:31,4171.58,4154.07,3058.91,1820.80
06:06:33,4207.67,4170.72,3039.36,1814.33
06:06:35,4809.57,4223.22,3131.01,1854.71
06:06:37,4240.01,4178.54,3082.92,1850.22
06:06:39,4274.53,4166.43,3080.25,1842.52
06:06:41,4643.73,4292.43,3900.76,1936.03
06:06:43,4306.35,4272.49,4094.89,1943.35
06:06:45,4199.06,4163.26,3086.35,1837.16
06:06:47,4174.26,4152.43,3107.61,1847.61
06:06:49,4196.49,4177.56,3089.95,1822.10
06:06:51,4199.45,4170.91,3116.34,1843.48
06:06:53,4230.44,4171.29,3117.81,1853.49
06:06:55,4232.61,4161.15,3081.28,1831.95
06:06:57,4227.81,4172.98,3097.77,1829.87
06:06:59,4224.18,4172.84,3133.23,1840.22
06:07:01,4165.69,4162.77,3116.81,1828.65
06:07:03,4146.06,4156.29,3137.34,1846.60
06:07:05,4301.19,4184.88,3102.28,1823.74
06:07:07,4191.12,4181.38,3148.59,1853.74
06:07:09,4707.52,4210.15,3178.64,1850.54
06:07:11,4193.89,4178.26,3130.98,1828.19
06:07:13,4197.03,4184.93,3129.10,1832.00
06:07:15,4518.99,4235.06,3402.11,1888.51
06:07:17,4345.94,4267.61,4196.21,1969.41
06:07:19,4234.03,4235.02,3579.15,1876.74
06:07:21,4165.98,4174.22,3103.35,1822.61
06:07:23,4204.84,4186.65,3126.78,1845.34
06:07:25,4178.30,4158.33,3109.57,1831.90
06:07:27,4179.11,4165.53,3119.08,1829.13
06:07:29,4161.99,4150.83,3114.90,1820.25
06:07:31,4186.01,4179.07,3119.07,1827.16
06:07:33,4153.64,4165.39,3109.34,1829.46
06:07:35,4323.73,4197.44,3109.55,1828.32
06:07:37,4162.37,4158.31,3097.43,1831.75
06:07:39,4233.70,4187.12,3093.69,1836.56
06:07:41,5215.79,4275.41,3237.67,1940.70
06:07:43,4355.61,4186.78,3108.80,1851.15
06:07:45,4201.13,4143.36,3052.72,1820.42
06:07:47,4496.77,4232.70,3286.63,1876.21
06:07:49,4442.62,4272.56,4082.96,1947.84
06:07:51,4263.31,4216.66,3466.67,1858.71
06:07:53,4231.75,4172.63,3065.93,1832.10
06:07:55,4251.56,4184.06,3054.34,1819.46
06:07:57,4214.39,4154.61,3087.47,1845.16
06:07:59,4226.78,4162.97,3068.86,1820.22
06:08:01,4236.87,4164.74,3049.70,1816.68
06:08:03,4215.57,4162.66,3066.72,1831.45
06:08:05,4194.27,4153.69,3063.27,1830.84
06:08:07,4349.90,4185.01,3071.77,1842.23
06:08:09,4240.22,4181.94,3054.38,1825.38
06:08:11,4341.74,4192.14,3106.21,1857.10
06:08:13,5254.92,4300.30,3269.42,1954.60
06:08:15,4202.94,4152.20,3055.98,1822.96
06:08:17,4260.00,4190.58,3079.60,1835.41
06:08:19,4569.36,4233.17,3354.98,1896.29
06:08:21,4355.88,4273.38,4194.31,1956.72
