Time,S0Read,S0Write,S1Read,S1Write
01:09:20,5701748.00,7910631.50,140929.34,112340.35
01:09:22,126.96,56.14,139.13,121.46
01:09:24,233.15,201.12,257.48,284.61
01:09:26,17.15,16.06,18.06,17.72
01:09:28,14.03,14.28,25.64,21.71
01:09:30,835.85,790.83,1660.71,990.22
01:09:32,16.14,15.33,35.80,25.49
01:09:34,217.95,19.13,16.12,16.36
01:09:36,13.72,13.92,14.52,14.94
01:09:38,14.98,14.69,22.78,19.59
01:09:40,4384.40,3345.74,81.48,76.14
01:09:42,3017.58,2574.66,92.48,88.79
01:09:44,3145.50,2677.11,92.19,92.98
01:09:46,3071.39,2637.24,90.18,90.59
01:09:48,2918.77,2483.75,92.23,92.20
01:09:50,3113.52,2607.96,91.36,92.38
01:09:52,2997.62,2571.93,89.90,89.73
01:09:54,2886.91,2486.16,97.98,96.45
01:09:56,3010.09,2571.13,88.22,88.68
01:09:58,2849.27,2486.31,92.26,92.63
01:10:00,3038.08,2600.58,97.55,97.87
01:10:02,2854.50,2472.56,95.74,97.54
01:10:04,2968.01,2552.04,95.45,98.09
01:10:06,2997.19,2559.23,95.83,98.29
01:10:08,2847.48,2455.08,97.02,98.47
01:10:10,3007.62,2573.81,95.15,98.18
01:10:12,2884.42,2499.05,104.56,104.99
01:10:14,2962.54,2538.19,95.62,98.05
01:10:16,3179.91,2505.67,91.90,91.29
01:10:18,2917.43,2521.85,99.40,99.80
01:10:20,3298.90,2561.74,102.60,108.19
01:10:22,2830.81,2435.91,95.00,93.61
01:10:24,2989.69,2565.90,96.10,99.01
01:10:26,2950.41,2541.48,95.75,99.34
01:10:28,2817.35,2447.99,98.38,99.69
01:10:30,2978.65,2560.04,94.99,98.41
01:10:32,2840.20,2476.12,95.97,100.29
01:10:34,3043.19,2584.48,97.07,100.51
01:10:36,2833.83,2452.76,96.58,101.09
01:10:38,2980.91,2565.94,97.20,100.12
01:10:40,2953.20,2543.45,96.10,99.63
01:10:42,2810.61,2442.72,95.99,99.47
01:10:44,2983.36,2567.69,97.27,100.42
01:10:46,3001.19,2488.59,100.55,105.83
01:10:48,3436.08,2572.64,112.30,119.89
01:10:50,2913.80,2510.80,97.75,100.85
01:10:52,2923.28,2511.96,87.25,86.27
01:10:54,3321.93,2560.11,100.39,101.13
01:10:56,2832.77,2456.39,96.46,100.05
01:10:58,2986.97,2565.32,102.97,103.96
01:11:00,2922.54,2518.25,98.97,102.16
01:11:02,2867.04,2473.63,97.05,98.85
01:11:04,2999.42,2563.40,97.21,100.84
01:11:06,2875.39,2487.96,97.16,101.92
01:11:08,3004.97,2574.20,97.36,100.49
01:11:10,2828.19,2457.28,94.43,98.05
01:11:12,2991.93,2571.66,107.25,102.87
01:11:14,2948.86,2534.92,96.50,100.04
01:11:16,2831.59,2450.69,96.91,100.49
01:11:18,3015.03,2574.36,99.17,102.06
01:11:20,3497.83,2518.03,115.13,124.11
01:11:22,2983.46,2558.48,109.71,108.79
01:11:24,2880.13,2493.47,92.49,93.40
01:11:26,3386.06,2535.63,94.47,96.93
01:11:28,3162.88,2531.17,91.79,89.90
01:11:30,2825.69,2431.84,89.02,85.50
01:11:32,3016.11,2573.32,100.02,99.68
01:11:34,2924.12,2519.10,99.04,101.16
01:11:36,2894.72,2493.61,96.67,99.66
01:11:38,2964.44,2543.99,99.10,101.22
01:11:40,2895.32,2500.71,96.19,98.75
01:11:42,3012.57,2574.38,97.85,100.73
01:11:44,2849.64,2456.10,95.86,98.63
01:11:46,3015.38,2573.39,97.94,101.91
01:11:48,2941.37,2532.52,96.82,100.08
01:11:50,2867.24,2472.67,97.33,100.25
01:11:52,3014.77,2572.12,96.01,98.87
01:11:54,3215.41,2511.79,110.08,114.42
01:11:56,2998.60,2551.28,98.10,101.33
01:11:58,3138.85,2500.54,109.03,110.94
01:12:00,3093.17,2559.48,103.07,106.54
01:12:02,2973.39,2549.71,103.85,103.84
01:12:04,2842.81,2458.72,98.49,102.13
01:12:06,3011.38,2574.49,98.29,102.12
01:12:08,2901.31,2498.96,100.69,102.12
01:12:10,2932.12,2514.30,98.00,100.99
01:12:12,2965.24,2531.30,109.36,104.63
01:12:14,2931.84,2525.23,97.86,101.40
01:12:16,3009.21,2564.35,97.46,101.11
01:12:18,2843.97,2457.00,97.58,100.69
01:12:20,2991.28,2567.50,101.32,103.78
01:12:22,2917.84,2512.35,97.89,100.50
01:12:24,2952.67,2490.03,99.75,102.61
01:12:26,3249.23,2544.86,89.83,88.60
01:12:28,2882.71,2474.29,85.11,82.18
01:12:30,3306.79,2549.69,94.42,95.59
01:12:32,2859.53,2456.12,87.64,84.45
01:12:34,2961.24,2529.92,85.72,83.28
01:12:36,2967.89,2540.86,93.35,95.57
01:12:38,2869.52,2463.25,97.86,99.13
01:12:40,3029.36,2571.64,98.07,99.98
01:12:42,2912.45,2502.73,97.30,99.76
01:12:44,2966.84,2530.72,112.61,110.45
01:12:46,2939.60,2516.64,117.39,115.23
01:12:48,2933.02,2526.13,106.78,106.03
01:12:50,2996.01,2553.51,97.69,101.06
01:12:52,2847.03,2455.95,105.06,105.09
01:12:54,3049.29,2582.06,124.64,121.19
01:12:56,3225.72,2527.81,109.89,114.62
01:12:58,2931.36,2511.01,115.26,112.46
01:13:00,2955.32,2536.29,100.41,102.51
01:13:02,3234.85,2520.37,112.63,112.32
01:13:04,2979.95,2533.82,87.72,86.07
01:13:06,2877.09,2460.50,85.30,85.32
01:13:08,2951.14,2515.45,90.49,85.31
01:13:10,2926.12,2498.26,80.39,79.75
01:13:12,2868.76,2470.47,107.87,105.58
01:13:14,3001.87,2564.47,97.19,100.43
01:13:16,2921.08,2508.16,94.95,98.28
01:13:18,2975.83,2535.25,99.28,100.68
01:13:20,2945.56,2514.17,97.92,101.06
01:13:22,2936.98,2501.91,89.91,83.17
01:13:24,2983.14,2533.10,85.45,83.98
01:13:26,2826.35,2438.92,87.25,87.37
01:13:28,3327.20,2591.49,100.74,104.20
01:13:30,2918.69,2507.06,101.65,103.33
01:13:32,2932.41,2507.16,98.87,100.93
01:13:34,3276.64,2531.21,98.68,100.91
01:13:36,2907.25,2493.96,81.73,80.56
01:13:38,2966.27,2525.33,85.22,82.62
01:13:40,2846.94,2442.21,81.86,79.77
01:13:42,2980.36,2532.94,84.85,81.35
01:13:44,2902.38,2478.77,86.20,84.11
01:13:46,2897.46,2470.51,86.05,84.57
01:13:48,2978.42,2522.98,84.33,82.61
01:13:50,2923.99,2507.45,92.66,94.77
01:13:52,2949.23,2526.91,98.78,101.38
01:13:54,2913.67,2500.94,105.94,106.03
01:13:56,2966.79,2540.87,96.72,100.87
01:13:58,2995.33,2548.76,102.58,105.08
01:14:00,3164.84,2472.58,106.25,109.90
01:14:02,3023.80,2575.07,101.76,103.96
01:14:04,2911.43,2501.45,98.33,101.11
01:14:06,3258.62,2525.28,103.15,108.18
01:14:08,2935.79,2518.82,102.04,103.09
01:14:10,2945.36,2528.99,108.01,104.20
01:14:12,2999.79,2543.06,102.78,102.75
01:14:14,2867.60,2463.13,98.32,101.45
01:14:16,3018.09,2572.10,96.83,99.41
01:14:18,2928.92,2511.20,97.93,100.64
01:14:20,2915.18,2494.14,102.28,104.20
01:14:22,2948.13,2510.97,85.79,83.66
01:14:24,2921.71,2487.79,82.10,78.57
01:14:26,2939.84,2494.66,85.66,83.17
01:14:28,2917.09,2477.91,86.01,83.91
01:14:30,2961.26,2524.08,84.18,82.09
01:14:32,3267.09,2528.48,90.00,89.49
01:14:34,2833.76,2430.33,85.06,82.25
01:14:36,3000.32,2548.81,90.72,89.95
01:14:38,3258.05,2532.68,109.03,112.33
01:14:40,2949.11,2512.41,98.26,101.33
01:14:42,2969.31,2529.68,146.21,147.44
01:14:44,2997.57,2560.74,131.89,139.95
01:14:46,2981.36,2543.51,97.82,101.53
01:14:48,2851.84,2461.18,103.00,104.65
01:14:50,3009.85,2569.77,98.88,102.40
01:14:52,2937.29,2509.85,99.89,102.02
01:14:54,2929.59,2503.51,105.12,108.45
01:14:56,2971.02,2527.42,95.67,98.53
01:14:58,2961.19,2534.92,100.77,102.53
01:15:00,2965.18,2530.10,100.74,102.82
01:15:02,2896.13,2483.64,99.77,100.75
01:15:04,3296.10,2569.89,104.31,108.68
01:15:06,2955.85,2526.63,97.79,100.37
01:15:08,2899.81,2486.85,101.35,103.23
01:15:10,3348.57,2584.10,115.50,111.93
01:15:12,2938.09,2517.29,101.63,104.05
01:15:14,2939.02,2514.73,94.00,94.73
01:15:16,2906.16,2479.50,85.20,83.78
