Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,70908212,3991612,2,0,60,4538125568,255463296
1,116947020,4201350,0,0,46,7484609280,268886400
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,74220,5410,226,0,206,4750080,360704
1,0,0,0,0,330,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,206,44,6,0,84,13184,3200
1,0,0,0,0,8,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,58,58,0,0,112,3712,3712
1,0,0,0,0,0,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,2450,130,0,0,86,156800,8320
1,0,0,0,0,2,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,56,38,8,0,84,3584,2944
1,0,0,0,0,52,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,29872,7110,0,0,96,1911808,455040
1,0,0,0,0,0,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,182,68,0,0,60,11648,4352
1,0,0,0,0,0,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,48,24,0,0,76,3072,1536
1,0,0,0,0,0,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,48,16,25416,0,54698,3072,1627648
1,0,0,0,0,398,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,14742958,13744822,4594,0,624572,943549312,879962624
1,0,0,0,0,37130,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,16861344,15339048,6200,0,620842,1079126016,982095872
1,0,0,0,0,40150,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,16590066,15233336,4602,0,623596,1061764224,975228032
1,0,0,0,0,37124,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,16671448,15331678,4592,0,621288,1066972672,981521280
1,0,0,0,0,36942,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,25697384,15293804,4604,0,622990,1644632576,979098112
1,0,0,0,0,37046,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,16706350,15305122,4580,0,622094,1069206400,979820928
1,0,0,0,0,37020,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,16998060,15533230,4614,0,624410,1087875840,994422016
1,0,0,0,0,37116,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,16702406,15235724,4386,0,622752,1068953984,975367040
1,0,0,0,0,37052,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,16846044,15597240,4592,0,622178,1078146816,998517248
1,0,0,0,0,36998,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,16745334,15102860,4610,0,623574,1071701376,966878080
1,0,0,0,0,37108,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,16454842,15436286,4610,0,623218,1053109888,988217344
1,0,0,0,0,37072,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,16943302,15227744,4598,0,622036,1084371328,974869888
1,0,0,0,0,36986,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,16629018,15427440,4410,0,621452,1064257152,987638400
1,0,0,0,0,36980,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,16605378,15276568,4616,0,624402,1062744192,977995776
1,0,0,0,0,37128,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,16775198,15322850,4592,0,621206,1073612672,980956288
1,0,0,0,0,36926,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,16695196,15313972,4470,0,625190,1068492544,980380288
1,0,0,0,0,37174,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,17186208,15382342,4516,0,622722,1099917312,984758912
1,0,0,0,0,37028,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,33901186,15274300,4620,0,644820,2169675904,977850880
1,0,0,0,0,16632,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,16852496,15451720,4602,0,621956,1078559744,989204608
1,0,0,0,0,37004,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,16555548,15263290,4570,0,624354,1059555072,977143040
1,0,0,0,0,37144,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,23810240,15367848,4584,0,628140,1523855360,983835648
1,0,0,0,0,28866,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,16837576,15286086,4464,0,622022,1077604864,978595200
1,0,0,0,0,37028,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,16660542,15296946,4420,0,621368,1066274688,979287424
1,0,0,0,0,36960,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,17052546,15507398,4600,0,622192,1091362944,992767872
1,0,0,0,0,37034,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,16616896,15230746,4602,0,621304,1063481344,975062272
1,0,0,0,0,36994,0,0
