Linux 4.18.0-348.el8.x86_64 (localhost.localdomain) 	11/29/22 	_x86_64_	(64 CPU)

23:36:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:36:02     all    0.95    0.00    0.48    0.00    0.03    0.02    0.00    0.00    0.00   98.52
23:36:02       0    0.00    0.00    0.50    0.00    0.00    1.00    0.00    0.00    0.00   98.51
23:36:02       1    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02       2    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02       3    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02       4    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
23:36:02       5    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02       6    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02       7    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:02       9    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:02      11    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02      12    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02      13    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02      14    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
23:36:02      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:02      16    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02      17    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02      18    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02      19    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:02      21    0.50    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.51
23:36:02      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:02      23    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02      24    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02      25    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.99
23:36:02      26    1.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.50
23:36:02      27    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
23:36:02      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:02      29    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02      30    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
23:36:02      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:02      32    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:02      34    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02      35    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02      36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:02      37    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:02      39    0.00    0.00    0.50    0.00    0.50    0.00    0.00    0.00    0.00   99.01
23:36:02      40    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
23:36:02      41    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:02      43    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:02      45    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.01
23:36:02      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:02      47   11.06    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   87.94
23:36:02      48    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02      49    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
23:36:02      50    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
23:36:02      51    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
23:36:02      52    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02      53    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
23:36:02      54    1.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.51
23:36:02      55    0.00    0.00    0.50    0.00    0.50    0.00    0.00    0.00    0.00   99.00
23:36:02      56    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
23:36:02      57    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02      58   27.86    0.00    2.49    0.00    0.50    0.00    0.00    0.00    0.00   69.15
23:36:02      59    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
23:36:02      60    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
