Time,S0Read,S0Write,S1Read,S1Write
23:36:00,4754262.50,6599149.00,106197.63,75455.30
23:36:02,131.57,44.87,139.75,113.94
23:36:04,14.88,14.60,16.20,16.35
23:36:06,15.69,15.62,16.78,16.92
23:36:08,14.12,14.67,21.76,19.44
23:36:10,14.49,14.87,23.48,19.74
23:36:12,427.24,293.19,81.60,80.56
23:36:14,293.91,236.06,238.02,256.66
23:36:16,16.91,16.25,17.10,17.30
23:36:18,15.79,16.34,27.99,24.43
23:36:20,710.69,745.02,2344.27,2654.62
23:36:22,17.11,16.17,36.26,26.31
23:36:24,44.45,17.69,179.08,20.55
23:36:26,14.29,14.69,14.82,15.52
23:36:28,14.76,15.32,24.05,20.44
23:36:30,4265.19,3811.17,525.05,69.07
23:36:32,3014.93,2630.58,101.66,91.34
23:36:34,3077.20,2694.75,109.03,89.81
23:36:36,2989.98,2624.13,100.82,85.18
23:36:38,2831.29,2490.39,103.07,88.29
23:36:40,2960.44,2591.44,103.39,87.87
23:36:42,2900.78,2541.16,106.56,89.23
23:36:44,2898.81,2537.42,105.56,89.31
23:36:46,3016.64,2608.38,114.94,90.02
23:36:48,2913.97,2556.40,115.13,88.60
23:36:50,2996.96,2611.91,122.18,89.67
23:36:52,2944.69,2570.01,130.34,94.90
23:36:54,2944.46,2578.96,126.02,90.11
23:36:56,3248.76,2656.13,135.53,93.13
23:36:58,2903.76,2533.21,129.20,92.36
23:37:00,3015.17,2619.40,136.66,91.82
23:37:02,3307.55,2601.45,139.43,94.11
23:37:04,2962.81,2585.56,130.36,88.96
23:37:06,2956.88,2583.42,136.71,88.41
23:37:08,2965.46,2592.39,138.30,90.29
23:37:10,2967.25,2580.63,143.50,91.05
23:37:12,2965.53,2580.17,140.63,90.58
23:37:14,2952.74,2583.34,139.34,89.01
23:37:16,2973.12,2593.55,141.66,88.84
23:37:18,2957.36,2557.26,115.20,88.59
23:37:20,3041.27,2598.79,92.23,85.54
23:37:22,2998.10,2593.48,127.06,88.09
23:37:24,2985.55,2591.31,141.35,88.88
23:37:26,2939.39,2569.47,139.54,88.02
23:37:28,3243.54,2615.08,143.25,90.96
23:37:30,2957.75,2584.77,143.82,90.53
23:37:32,2991.23,2572.73,146.18,90.59
23:37:34,3723.19,2658.73,164.67,106.82
23:37:36,2944.10,2570.64,145.50,88.81
23:37:38,2974.18,2586.13,147.82,88.57
23:37:40,2982.32,2599.27,147.56,90.06
23:37:42,2949.90,2579.93,143.70,89.37
23:37:44,3003.29,2610.51,147.78,88.81
23:37:46,2904.60,2546.61,144.73,89.68
23:37:48,2991.81,2608.93,152.81,89.81
23:37:50,2959.25,2578.95,148.07,90.59
23:37:52,2953.49,2573.86,165.49,102.97
23:37:54,3003.82,2615.77,154.80,90.59
23:37:56,2912.70,2554.95,146.07,89.40
23:37:58,2990.47,2608.13,155.90,92.73
23:38:00,3234.16,2596.44,156.26,94.38
23:38:02,2940.93,2572.06,153.15,90.93
23:38:04,2988.21,2602.47,157.01,90.81
23:38:06,3345.29,2580.33,156.06,95.02
23:38:08,2951.15,2569.94,149.70,82.70
23:38:10,2937.34,2560.06,155.43,79.51
23:38:12,2898.98,2533.57,145.82,79.65
23:38:14,2959.29,2573.53,151.23,79.75
23:38:16,2908.55,2535.36,146.68,78.78
23:38:18,2952.52,2564.70,152.03,78.89
23:38:20,2946.67,2558.56,157.98,84.01
23:38:22,2912.70,2541.66,148.64,79.66
23:38:24,2961.73,2577.71,153.13,79.42
23:38:26,2892.69,2520.74,141.03,77.26
23:38:28,2941.66,2557.25,147.88,75.99
23:38:30,2930.35,2541.53,140.46,75.79
23:38:32,3222.63,2588.08,162.19,89.12
23:38:34,2952.02,2576.97,162.13,90.94
23:38:36,2955.51,2580.09,164.21,90.85
23:38:38,3385.71,2615.15,167.55,92.71
23:38:40,2940.78,2568.54,158.66,88.04
23:38:42,2968.16,2590.03,164.50,90.06
23:38:44,2939.84,2572.40,164.33,90.27
23:38:46,2956.65,2577.40,163.39,90.00
23:38:48,2958.00,2581.66,165.71,91.26
23:38:50,2932.98,2572.42,165.13,90.45
23:38:52,2977.94,2594.72,173.28,94.96
23:38:54,2903.74,2532.65,155.26,80.29
23:38:56,2930.19,2552.59,156.44,76.76
23:38:58,2956.85,2567.71,161.81,80.30
23:39:00,2892.78,2519.55,153.37,78.42
23:39:02,2956.32,2570.04,161.85,78.56
23:39:04,3207.94,2562.30,144.39,83.64
23:39:06,2984.84,2559.61,125.76,78.29
23:39:08,2988.85,2555.24,116.99,76.21
23:39:10,3397.43,2558.57,102.54,81.81
23:39:12,3089.33,2590.01,82.99,78.46
23:39:14,3006.59,2530.22,80.74,75.51
23:39:16,3058.41,2573.24,81.67,77.04
23:39:18,3061.86,2573.15,82.99,77.67
23:39:20,2987.49,2524.82,80.86,76.59
23:39:22,3078.60,2593.83,82.73,79.49
23:39:24,3024.42,2577.44,102.67,87.55
23:39:26,3020.71,2583.00,117.23,88.78
23:39:28,3012.17,2588.10,128.95,89.53
23:39:30,2960.28,2567.67,136.27,90.06
