Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,17872454,2369674,112,0,268,1143837056,151666304
1,217859636,5817942,0,0,0,13943016704,372348288
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,7588,1828,0,0,108,485632,116992
1,0,0,0,0,0,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,50,50,4,0,94,3200,3456
1,0,0,0,0,6,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,452,34,0,0,170,28928,2176
1,0,0,0,0,0,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,42,48,0,0,120,2688,3072
1,0,0,0,0,0,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,52,58,114,0,284,3328,11008
1,0,0,0,0,40,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,7986,1982,252,0,264,511104,142976
1,0,0,0,0,336,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,40,32,0,0,48,2560,2048
1,0,0,0,0,0,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,54,18,0,0,76,3456,1152
1,0,0,0,0,0,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,2242,32,0,0,98,143488,2048
1,0,0,0,0,2,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,36,24,0,0,94,2304,1536
1,0,0,0,0,0,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,7346,1738,12,0,204,470144,112000
1,0,0,0,0,18,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,11320910,80,0,0,108,724538240,5120
1,0,0,0,0,0,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,32,36,0,0,48,2048,2304
1,0,0,0,0,0,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,40,18,27192,0,48,2560,1741440
1,0,0,0,0,54208,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,10731126,9335772,4582,0,623570,686792064,597782656
1,0,0,0,0,37102,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,16977214,15279674,4662,0,630208,1086541696,978197504
1,0,0,0,0,37500,0,0
