Time,S0Read,S0Write,S1Read,S1Write
10:30:54,inf,inf,inf,inf
10:30:56,97.11,91.05,199.14,165.71
10:30:58,15.41,15.46,34.16,25.42
10:31:00,33.73,24.90,35.61,25.97
10:31:02,14.17,13.95,14.69,14.63
10:31:04,14.50,13.90,14.81,14.70
10:31:06,68.65,53.99,123.52,109.83
10:31:08,153.76,136.44,265.06,217.94
10:31:10,36.16,27.75,40.17,26.13
10:31:12,15.31,14.99,17.63,17.07
10:31:14,1441.81,963.15,1357.18,1235.04
10:31:16,48.41,46.29,56.99,47.13
10:31:18,189.12,51.62,37.41,32.67
10:31:20,62.42,58.94,43.86,37.35
10:31:22,62.53,65.90,38.62,34.11
10:31:24,796.40,69.98,41.15,43.58
10:31:26,327.57,74.07,36.13,35.91
10:31:28,57.65,60.71,33.79,34.22
10:31:30,71.48,71.28,44.82,37.88
10:31:32,60.06,62.29,28.83,26.84
10:31:34,61.31,64.27,37.38,35.17
10:31:36,74.87,74.22,42.73,35.47
10:31:38,61.33,64.34,31.83,31.15
10:31:40,73.41,72.25,43.15,35.27
10:31:42,62.98,65.37,30.51,29.07
10:31:44,63.23,66.04,31.73,31.18
10:31:46,68.92,70.08,29.72,28.74
10:31:48,63.48,67.15,32.19,32.37
10:31:50,72.91,72.24,44.06,36.22
10:31:52,63.80,66.54,71.47,31.20
10:31:54,62.35,64.91,27.82,27.13
10:31:56,68.86,69.98,29.19,27.39
10:31:58,66.14,68.30,30.17,30.28
10:32:00,74.49,72.25,42.09,33.14
10:32:02,64.04,66.07,29.19,27.36
10:32:04,72.30,71.84,33.74,32.07
10:32:06,71.05,70.95,30.09,27.69
10:32:08,62.91,65.14,28.51,26.88
10:32:10,82.33,78.23,62.24,42.13
10:32:12,64.70,66.71,29.99,26.86
10:32:14,63.38,65.74,28.20,27.24
10:32:16,73.55,73.46,62.92,30.47
10:32:18,63.48,65.79,29.73,28.02
10:32:20,75.27,76.23,38.94,34.05
10:32:22,68.76,68.81,32.65,29.11
10:32:24,63.32,65.20,29.23,27.92
10:32:26,73.96,71.80,28.55,28.00
10:32:28,63.09,65.18,26.71,25.91
10:32:30,76.71,74.98,40.28,34.04
10:32:32,64.48,66.03,28.64,27.38
10:32:34,63.84,65.77,28.81,27.63
10:32:36,70.57,71.00,28.49,27.61
10:32:38,64.28,65.86,55.02,28.31
10:32:40,73.22,71.68,40.72,32.89
10:32:42,64.88,66.19,28.34,27.01
10:32:44,64.18,66.11,27.53,26.94
10:32:46,69.23,70.09,29.93,28.45
10:32:48,64.48,66.09,28.22,27.21
10:32:50,72.15,71.17,39.89,32.91
10:32:52,65.79,66.79,30.28,28.11
10:32:54,64.47,66.20,27.44,26.80
10:32:56,69.19,70.07,29.23,27.70
10:32:58,64.66,66.23,53.07,26.59
10:33:00,74.40,72.18,43.95,34.62
10:33:02,66.60,67.49,30.09,28.78
10:33:04,64.36,66.04,27.70,29.48
10:33:06,69.08,69.74,29.70,29.80
10:33:08,65.05,66.36,29.68,29.89
10:33:10,78.96,74.07,58.81,39.97
10:33:12,65.67,66.80,29.16,27.50
10:33:14,68.41,69.11,29.90,28.53
10:33:16,70.51,71.08,30.76,28.29
10:33:18,65.23,66.01,55.07,28.67
10:33:20,73.94,71.90,42.60,34.95
10:33:22,71.81,72.72,35.20,31.07
10:33:24,65.54,67.02,30.62,30.31
10:33:26,74.66,73.63,30.46,30.24
10:33:28,66.44,68.43,31.50,32.13
10:33:30,78.54,77.59,44.96,40.07
10:33:32,67.68,69.05,31.32,30.97
10:33:34,67.04,69.03,32.51,33.24
10:33:36,72.78,73.48,32.86,32.96
10:33:38,65.63,67.22,30.62,30.41
10:33:40,76.51,74.66,69.93,38.81
10:33:42,66.90,67.98,30.64,29.13
10:33:44,66.17,67.90,29.18,29.28
10:33:46,71.19,72.43,32.23,33.04
10:33:48,66.45,67.89,30.13,30.20
10:33:50,73.34,71.72,38.54,31.76
10:33:52,66.91,68.14,30.59,29.84
10:33:54,65.62,67.13,48.51,29.68
10:33:56,69.79,70.47,28.68,27.81
10:33:58,70.50,71.70,32.78,32.05
10:34:00,77.87,75.04,45.18,36.55
10:34:02,67.42,68.74,30.45,30.56
10:34:04,74.83,73.65,35.25,34.08
10:34:06,73.35,72.32,29.92,29.00
