Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,31159334,4106734,8,0,124,1994197376,262831488
1,181709064,5152766,0,0,0,11629380096,329777024
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,46,76,0,0,144,2944,4864
1,0,0,0,0,0,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,122,148,0,0,180,7808,9472
1,0,0,0,0,2,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,212,164,0,0,156,13568,10496
1,0,0,0,0,0,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,27682,6992,0,0,170,1771648,447488
1,0,0,0,0,6,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,802,198,62,0,196,51328,16640
1,0,0,0,0,8,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,176,74,0,0,72,11264,4736
1,0,0,0,0,0,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,32,54,0,0,216,2048,3456
1,0,0,0,0,10,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,74,126,10,0,216,4736,8704
1,0,0,0,0,20,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,28762,7398,0,0,288,1840768,473472
1,0,0,0,0,4,0,0
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,2974,432,0,0,1292,190336,27648
1,970092,814630,282,0,39824,62085888,52154368
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,2132,92,6,0,172,136448,6272
1,1005518,928660,274,0,40086,64353152,59451776
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,80,68,0,0,460,5120,4352
1,1011188,942262,278,0,40640,64716032,60322560
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,104,108,0,0,1708,6656,6912
1,1019128,943454,278,0,39048,65224192,60398848
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,28890,7390,7860,0,16448,1848960,976000
1,1038122,943262,284,0,40022,66439808,60386944
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,16103414,60,0,0,1556,1030618496,3840
1,1041256,945428,282,0,39892,66640384,60525440
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,214,106,0,0,2456,13696,6784
1,1047978,950072,278,0,38178,67070592,60822400
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,98,110,0,0,2338,6272,7040
1,1039256,940024,278,0,38752,66512384,60179328
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,112,82,0,0,240,7168,5248
1,1029564,947896,280,0,41046,65892096,60683264
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,33744,8254,0,0,2396,2159616,528256
1,1027736,947220,278,0,38244,65775104,60639872
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,78,66,6,0,1192,4992,4608
1,1024126,947212,284,0,39910,65544064,60639744
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,76,46,0,0,520,4864,2944
1,1029828,948336,278,0,40358,65908992,60711296
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,112,98,0,0,818,7168,6272
1,1020280,934966,272,0,40352,65297920,59855232
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,98,138,8,0,1252,6272,9344
1,1039778,945370,280,0,39544,66545792,60521600
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,33388,7904,0,0,1108,2136832,505856
1,1039484,943512,280,0,39944,66526976,60402688
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,1118,320,0,0,876,71552,20480
1,1041650,948598,278,0,39802,66665600,60728064
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,3712,108,8,0,1976,237568,7424
1,1023798,946922,278,0,38816,65523072,60620800
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,90,110,0,0,1548,5760,7040
1,1020596,947570,276,0,38806,65318144,60662144
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,2426750,108,0,0,162,155312000,6912
1,1017202,944492,284,0,41104,65100928,60465664
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,34798,8612,0,0,244,2227072,551168
1,1024390,957224,282,0,41098,65560960,61280384
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,112,160,0,0,184,7168,10240
1,1022936,940742,274,0,40530,65467904,60225024
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,92,126,0,0,160,5888,8064
1,1024402,945988,282,0,40998,65561728,60561280
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,130,76,8,0,136,8320,5376
1,1041206,944694,282,0,40794,66637184,60478464
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,92,72,0,0,172,5888,4608
1,1034238,934866,280,0,41104,66191232,59849344
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,35048,8808,0,0,136,2243072,563712
1,1043982,951802,278,0,41094,66814848,60933120
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,62,80,8,0,208,3968,5632
1,1031750,945206,280,0,41038,66032000,60511104
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,90,118,0,0,220,5760,7552
1,1025704,945390,276,0,40730,65645056,60522624
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,552,212,0,0,136,35328,13568
1,1037880,955894,282,0,40948,66424320,61195264
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,106,84,0,0,136,6784,5376
1,1031918,946310,282,0,40202,66042752,60581888
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,34912,8788,0,0,184,2234368,562432
1,1032562,945472,280,0,40704,66083968,60528128
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,94,108,0,0,148,6016,6912
1,1050364,957494,278,0,40274,67223296,61297408
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,1935030,190,4,0,144,123841920,12416
1,1044576,953564,282,0,40734,66852864,61046144
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,92,82,0,0,196,5888,5248
1,1044278,952042,278,0,40162,66833792,60948480
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,100,114,0,0,208,6400,7296
1,1028034,943304,280,0,40548,65794176,60389376
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,34648,8950,6,0,206,2217472,573184
1,1036704,952522,282,0,40502,66349056,60979456
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,110,84,0,0,184,7040,5376
1,1034164,955346,274,0,40646,66186496,61159680
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,90,88,0,0,148,5760,5632
1,1028244,953802,284,0,41100,65807616,61061504
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,90,76,8,0,148,5760,5376
1,1038276,951464,276,0,40918,66449664,60911360
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,80,86,0,0,196,5120,5504
1,1024688,946426,282,0,40482,65580032,60589312
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,32626,8340,0,0,316,2088064,533760
1,1028902,946660,278,0,40900,65849728,60604032
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,354,278,0,0,196,22656,17792
1,1016694,939334,278,0,41098,65068416,60135168
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,1534398,80,0,0,124,98201472,5120
1,1036130,938036,282,0,40906,66312320,60052352
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,86,54,0,0,172,5504,3456
1,1036910,949148,286,0,41006,66362240,60763776
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,92,94,6,0,160,5888,6400
1,1032144,942112,282,0,40918,66057216,60313216
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,24170,6498,0,0,184,1546880,415872
1,1031742,941980,282,0,41096,66031488,60304768
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,612,218,0,0,160,39168,13952
1,1045402,949498,282,0,40706,66905728,60785920
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,3776,78,6,0,168,241664,5376
1,1035150,952404,282,0,41110,66249600,60971904
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,82,86,0,0,124,5248,5504
1,1043038,960050,280,0,40382,66754432,61461120
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,84,70,0,0,136,5376,4480
1,1039254,954704,284,0,41010,66512256,61119232
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,16080,4276,0,0,112,1029120,273664
1,1031334,946428,280,0,40628,66005376,60589312
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,72,60,0,0,168,4608,3840
1,1034736,948460,282,0,40900,66223104,60719488
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,66,78,1522,0,172,4224,102400
1,1028108,950868,282,0,43682,65798912,60873600
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,76,106,0,0,232,4864,6784
1,1032588,953414,280,0,41098,66085632,61036416
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,76,118,0,0,220,4864,7552
1,1033502,953090,284,0,41006,66144128,61015936
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,19658,5334,0,0,160,1258112,341376
1,1043806,948110,284,0,41100,66803584,60697216
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,66,76,8,0,208,4224,5376
1,1042128,953228,288,0,41306,66696192,61025024
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,100,128,0,0,196,6400,8192
1,1032382,948088,282,0,40394,66072448,60695680
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,60,114,0,0,136,3840,7296
1,1031422,955620,278,0,41100,66011008,61177472
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,64,82,8,0,146,4096,5760
1,1022858,948528,280,0,40166,65462912,60723712
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,22596,6254,0,0,196,1446144,400256
1,1021810,946568,282,0,41100,65395840,60598400
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,74,128,0,0,160,4736,8192
1,1033228,948134,276,0,40630,66126592,60698240
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,4300,86,0,0,160,275200,5504
1,1041712,953546,278,0,40818,66669568,61044736
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,74,78,0,0,112,4736,4992
1,1038816,939794,282,0,41024,66484224,60164864
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,82,72,0,0,932,5248,4608
1,1048242,950126,282,0,40122,67087488,60826112
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,13514,3662,6,0,984,864896,234752
1,1034152,943438,278,0,39962,66185728,60397824
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,74,86,0,0,2036,4736,5504
1,1028442,950552,274,0,39000,65820288,60852864
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,76,136,0,0,1800,4864,8704
1,1022194,949114,282,0,39098,65420416,60761344
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,60,108,8,0,1914,3840,7424
1,1023814,946664,282,0,37978,65524096,60604544
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,66,66,0,0,1312,4224,4224
1,1025892,951128,282,0,39780,65657088,60890240
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,6736,2014,0,0,1372,431104,128896
1,1034198,954384,274,0,39458,66188672,61098112
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,460,122,8,0,2444,29440,8320
1,1046664,941810,276,0,38646,66986496,60293504
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,102,98,0,0,810,6528,6272
1,1050822,950932,280,0,40440,67252608,60877568
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,1518080,118,0,0,1158,97157120,7552
1,1037154,941760,278,0,39576,66377856,60290432
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,80,140,0,0,1656,5120,8960
1,1018744,943096,284,0,39474,65199616,60376320
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,6876,2022,0,0,384,440064,129408
1,1030846,954442,282,0,40694,65974144,61102336
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,68,64,0,0,1340,4352,4096
1,1018562,947096,282,0,39570,65187968,60632192
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,66,42,18,0,516,4224,3840
1,1017554,941014,282,0,40598,65123456,60242944
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,64,76,0,0,160,4096,4864
1,1032434,953874,282,0,40906,66075776,61065984
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,84,108,0,0,562,5376,6912
1,1028254,942222,280,0,39372,65808256,60320128
